"published_date",doi,title,authors,affiliations
"March 25th 2019, 00:00:00.000","10.29025/2079-6021-2019-1-53-62","Conceptualization of upper area expression in Russian","[""Liudmila V. Babina"",""Olga D. Proskurnich""]","[""Derzhavin Tambov State University"",""Multidisciplinary cadet military school named after the Hero of the Soviet Union, pilot-cosmonaut of the USSR L.S. Demina""]"
"March 28th 2017, 00:00:00.000","10.1142/9789813200074_0011","RECENT TRENDS IN CROP IMPROVEMENT IN INDIA","[""M. S. SWAMINATHAN""]","[""FNA, FRS, Foreign Associate, National Academy of Sciences, USA"",""Foreign Member, All-Union Academy of Agric. Sciences USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0009","DISTINCTION BETWEEN INTERACTION AND SCATTERING EFFECTS IN PERTURBATION THEORY","[""L. D. Faddeev""]","[""Leningrad Section, V. A. Steklov Mathematical Institute, Academy of Sciences, USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0017","THE UNRAVELLING OF THE QUANTUM GROUP STRUCTURE IN THE WZNW THEORY","[""A. Alekseev"",""L. Faddeev"",""M. Semenov-Tian-Shansky"",""A. Volkov""]","[""Theory Division, CERN, CH- 1211 Geneva 23, Switzerland"",""Leningrad Steklov Mathematical Institute, Fontanka 27, 191011, Leningrad, USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0026","WHAT IS THE SPIN OF A SPIN WAVE?","[""L.D. FADDEEV"",""L.A. TAKHTAJAN""]","[""Leningrad Branch of the Steklov Mathematical Institute, Leningrad, USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0015","Quantization of symplectic orbits of compact Lie groups by means of the functional integral","[""A. ALEKSEEV"",""L. FADDEEV"",""S. SHATASHVILI""]","[""Leningrad Branch of V.A. Steklov Mathematical Institute, Fontanka 27, 191011, Leningrad, USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0013","LIOUVILLE MODEL ON THE LATTICE","[""L.D. Faddeev"",""L.A. Takhtajan""]","[""Steklov Mathematical Institute, Fontanka 27, Leningrad Dll – 191011 – USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0016","(T*G)t: A Toy Model for Conformal Field Theory","[""A. Yu. Alekseev"",""L. D. Faddeev""]","[""Steklov Mathematical Institute, Leningrad, USSR, Russia"",""Research Institute in Theoretical Physics, Helsinki University, Helsinki, Finland"",""Center for Theoretical Physics, Laboratory for Nuclear Science and Department of Physics, Massachusetts Institute of Technology, Cambridge, MA 02139, USA""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0033","QUANTUM GROUPS","[""L. FADDEEV"",""N. RESHETIKHIN"",""L. TAKHTAJAN""]","[""Leningrad Branch of V.A.Steklov, Mathematical Institute of the Academy of Sciences of the USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0003","INCREASING SOLUTIONS OF THE SCHROEDINGER EQUATION","[""L. D. Faddeev""]","[""V. A. Steklov Mathematics Institute, Academy of Sciences of the USSR, Leningrad, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0012","FEYNMAN DIAGRAMS FOR THE YANG-MILLS FIELD","[""L. D. FADDEEV"",""V. N. POPOV""]","[""Mathematical Institute, Leningrad. USSR, Russia""]"
"February 14th 2016, 00:00:00.000","10.1142/9789814340960_0025","Quantum-mechanical approach to completely integrable field theory models","[""E. K. Sklyanin"",""L. D. Faddeev""]","[""Leningrad Branch, V. A. Steklov Mathematics Institute, Academy of Sciences of the USSR, Russia""]"
"June 9th 2015, 00:00:00.000","10.1111/russ.12020","Researching Soviet Archives: An Introduction","[""MARTIN KRAGH"",""STEFAN HEDLUND""]","[""Researcher at the Uppsala Centre for Russian and Eurasian Studies, where he does research on the economic development and economic history of Russia/the USSR."",""Professor of Russian Studies at the Uppsala Centre for Russian and Eurasian Studies.""]"
"May 30th 2014, 00:00:00.000","10.999999/ADA611592","Laser Materials Search and Characterization","[""Maxim E. Doroshenko""]","[""Russian Academy Of Sciences Moscow (Ussr) General Physics Inst""]"
"July 1st 2013, 00:00:00.000","10.1142/9789814436571_0051","A MODEL OF FIELD THEORY WITH NONVANISHING RENORMALIZED CHARGE","[""A. A.ANSELM""]","[""Ioffe Physical-Technical Institute, Academy of Sciences, USSR""]"
